year,inflation,series::Portfolio 1::return,series::Portfolio 1::balance,series::benchmark::return,series::benchmark::balance,asset::QQQ::return,asset::SPY::return,asset::GLD::return,asset::IEF::return
2026,0.03303856050706311,0.10547967265799141,118821.87669993617,0.13081637433046645,96881.04194930806,0.16952757877712177,0.13081637433046645,0.030556927515688503,-0.013282048106986633
2025,0.02653304114557753,0.3059318528098107,107484.45189792,0.1771905551191475,85673.54006230178,0.2077254825855681,0.1771905551191475,0.6367653308824839,0.08031987664691931
2024,0.028706909675099812,0.23227247407075557,82304.79382722701,0.24886476304115335,72777.97098332176,0.2557824575972485,0.24886476304115335,0.2665690600092574,-0.006342266381659689
2023,0.033159099427102934,0.2767805109165691,66791.0673646202,0.26175777831245184,58275.30180777751,0.54855573335691,0.26175777831245184,0.12691581500094418,0.03644403524571471
2022,0.06404600402357152,-0.1720136653382851,52312.098119881666,-0.1817535011993321,46185.807458003794,-0.3257698095318897,-0.1817535011993321,-0.007721146890384167,-0.15155191501233967
2021,0.07174340285065539,0.1463396372929029,63179.90518678608,0.28728751906232186,56444.85802957902,0.2741972560943746,0.28728751906232186,-0.04148908875959545,-0.03327795334104333
2020,0.013204191315779434,0.2885083482914388,55114.473173052196,0.18331613708139827,43847.90281404594,0.48406102399803896,0.18331613708139827,0.24814561391482015,0.10006718344351317
2019,0.023195274699624457,0.27334295200655045,42773.858039906336,0.31223870646836804,37055.10424474988,0.3896151094393381,0.31223870646836804,0.17855665069265414,0.08029505782646429
2018,0.020023809043401064,-0.013650798255011587,33591.78135984712,-0.045690033439039324,28238.082036519394,-0.0012615943187387346,-0.045690033439039324,-0.019409636039321776,0.009877628398462956
2017,0.021299307195522532,0.20158244708462414,34056.682258594206,0.21705420396106678,29590.052525890253,0.32663501787536764,0.21705420396106678,0.1280905103306913,0.025528984606848493
2016,0.020507989115119862,0.09025836451155378,28343.192213921953,0.11997894877206039,24312.846896699786,0.07097909381490863,0.11997894877206039,0.08032723831481015,0.010015833443230315
2015,0.006387247515364791,0.005064405185124743,25996.766579837225,0.012342653235452472,21708.307038588784,0.09435895249582815,0.012342653235452472,-0.10670895008973502,0.015078856280463127
2014,0.006531213919623191,0.09991849659818919,25865.77183085976,0.13463802308634576,21443.635679291907,0.19181388765510388,0.13463802308634576,-0.02187393089432288,0.09068122596363404
2013,0.015128383667573297,0.08133576701966039,23516.080428556314,0.3230778094040059,18899.098428733025,0.3663419809223061,0.3230778094040059,-0.2832983601746558,-0.060901902873993885
2012,0.017595049796895523,0.12745407120986751,21747.251081290415,0.1599032921680288,14284.192731829062,0.18112551113340358,0.1599032921680288,0.06599117321400438,0.03663956033842419
2011,0.03062066838419386,0.06843754216322484,19288.813297692464,0.018949849799832386,12314.985937430882,0.034758012046726794,0.018949849799832386,0.09566035291009234,0.15649744359758966
2010,0.01437793022217937,0.2100933269902956,18053.29046996901,0.15056161861232464,12085.958832861206,0.2014381072256195,0.15056161861232464,0.29270342350868805,0.09359738463140244
2009,0.028141231232083674,0.3092296465150819,14918.924075774024,0.2635176259157497,10504.39944923411,0.5468403211020267,0.2635176259157497,0.24029128204079053,-0.06593188777986658
2008,-0.0002222800255385904,-0.2190427719798047,11395.192673405574,-0.36795014924150693,8313.615286229915,-0.4172715008788396,-0.36795014924150693,0.04923596414832221,0.17917415663338954
2007,0.04108813392417532,0.1734493076535566,14591.314689913977,0.05146225029643059,13153.41705445091,0.19028052673492835,0.05146225029643059,0.3045404252304236,0.10378778469224814
2006,0.025239777889954462,0.14204916358277497,12434.550512532107,0.15845280283541086,12509.642691159539,0.07144022698066355,0.15845280283541086,0.2254749290531417,0.025161864861563465
2005,0.03338549817423053,0.07748588599284512,10887.929267005547,0.04828247661324214,10798.57777592763,0.0156545063100626,0.04828247661324214,0.17762563309387525,0.026382627627010713
2004,0.033423180592991875,0.01049391073674344,10104.939107367434,0.03012098521529505,10301.20985215295,0.030223268365317635,0.03012098521529505,-0.029255313077842793,0.011672285859125164
