asset,KAW Native Proxy Canonical_risk_contribution_pct,KAW Core Revised Internal_risk_contribution_pct
133690,13.293940084811187,0.0
402970,5.593542509344933,0.0
069500,21.51541373153876,0.0
192090,6.012426116759334,7.016537744617107
200250,4.951706056580672,4.83902074260502
101280,4.691487350143679,0.0
267440,11.010952818164007,0.0
385560,17.076052206829875,0.0
GLD,15.854479125827547,15.861029774057394
QQQ,0.0,12.214949690969517
SCHD,0.0,6.433866414828166
EWY,0.0,18.48444326601396
EWJ,0.0,4.38824916719776
TLT,0.0,30.76190319971108
