date,year,month,series::KAW Native Proxy Canonical::return,series::KAW Native Proxy Canonical::balance,series::KAW Core Revised Internal::return,series::KAW Core Revised Internal::balance,series::benchmark::return,series::benchmark::balance,asset::133690::return,asset::402970::return,asset::069500::return,asset::192090::return,asset::200250::return,asset::101280::return,asset::267440::return,asset::385560::return,asset::GLD::return,asset::QQQ::return,asset::SCHD::return,asset::EWY::return,asset::EWJ::return,asset::TLT::return
2026-08-31,2026,8,0.007241763872195713,15575.13793366137,0.013129485395741707,16046.160123505828,0.0007710809172516431,21127.96561035596,-0.002001668056713979,0.0012999675008125156,-0.0150707590516449,-0.04031007751937987,-0.051401869158878455,-0.00925174484661584,0.021356783919598055,-0.002083657890637136,0.06942364228778031,0.011906771489649692,0.013254591970851104,0.11462156234247001,0.00833917064299139,-0.016875158199198825
2026-07-31,2026,7,-0.07774080884878726,15463.15739905879,-0.11523768602663544,15838.212543224903,-0.08234183406494822,21111.68679154001,-0.12163317135112695,-0.03439402497960209,-0.21316548687283532,-0.14342629482071712,-0.0711037618850765,-0.04246060116253769,-0.03806646525679758,-0.02705570291777193,-0.07479220080791382,-0.142965957499969,-0.031746119184696164,-0.28621134047147845,-0.09131627279039056,-0.12370087499785298
2026-06-30,2026,6,-0.012635737096382453,16766.6069879519,0.01387095973229861,17901.093088037775,0.02499901299595053,23006.04688678182,0.015377825384073729,0.014001145548272032,0.02792395052919483,0.04583333333333339,0.04650659744754493,0.01848861873555574,0.010995723885155684,-0.07439233979867421,-0.0853569144903864,0.03411460574613834,0.018531878235481303,0.01588428674351494,0.044758056857334694,0.04773384777830447
2026-05-31,2026,5,0.04744548119596448,16981.176671966085,0.05219880899178069,17656.184858834855,0.06782233020786066,22444.945404911046,0.13458952473654295,0.056336134453781606,0.3494343256037873,0.048034934497816595,0.007189542483660105,0.0944527216659159,-0.008479709267110835,-0.05001332800213243,-0.0012229590385289812,0.12164746783445968,0.028038536706574302,0.2988401427192273,0.058384384903242825,0.019847630464190802
2026-04-30,2026,4,0.038058168387759266,16211.990959736746,0.030991417622368643,16780.274514616733,0.08350047519414172,21019.36321236319,0.13552175107493558,-0.010378550994611158,0.3303622656614851,0.05408515535097824,0.017287234042553168,0.02664342629482075,-0.007215874924834664,-0.001862445124384715,-0.034611046395001455,0.1343373466062614,0.024919419215519767,0.28139692625050716,0.034607372497866606,-0.027736085013977507
2026-03-31,2026,3,-0.053005404388538624,15617.613206508551,-0.03007481120216797,16275.862463835763,-0.0022507345476927565,19399.496071837846,-0.013170670197339418,0.052222611130556595,-0.19857776827246965,0.013214146910221602,-0.0914216673378977,-0.06551873150949039,-0.035942028985507246,-0.08284529038555388,-0.06641351651288308,-0.0012042313368409996,0.02214032717310621,-0.1470670331214211,-0.0405296504754461,0.0051792230887353075
2026-02-28,2026,2,0.05514405997913274,16491.765928637084,0.06258232461755452,16780.53385128474,-0.006171864219317702,19443.257683626078,-0.027725843330288824,0.0732531930879039,0.2175164045411937,0.011001964636542239,0.01284927595349794,0.07489191410297646,0.03479304139172168,0.02811446491571923,0.08990967769328684,-0.02101230336026383,0.06804691011204467,0.2396630021399806,0.08026312189427598,0.04894458895884468
2026-01-31,2026,1,0.03807145012356768,15629.871364639288,0.04441583937099686,15792.22001205827,0.00828052722608863,19564.00406027226,0.0048105351335370194,0.05159200442442913,0.270814030443415,0.014348345954563468,-0.05054221533694814,0.05866999546073526,-0.013609467455621305,-0.06145604921193215,0.11084440178448407,-0.00022425672388093343,0.07478582547354762,0.23608140491833707,0.05414308889947872,-0.012421286006016108
2025-12-31,2025,12,0.003900656182097938,15056.643126808633,-0.006254947884883169,15120.6247710387,-0.015288936878936399,19403.334222962123,-0.011976630963972723,-0.0038564457736502966,0.09427335107634938,0.020748576078112313,-0.04014869888475836,0.0,-0.010770311402481858,-0.004760091393754773,0.009603333138763492,-0.016712792038450996,-0.0067849506964543504,0.08939644779567057,-0.0064368010009385745,-0.03668901858062379
2025-11-30,2025,11,0.015604363910359081,14998.14053720222,0.03415812710366043,15215.798799556795,0.028250919000105235,19704.596555930653,0.0031929766723444164,0.06299673722078136,-0.04290491950995512,0.008782730033653374,0.042433636892075244,0.013650306748466345,-0.0005850005850005502,-0.058651592444505685,0.08133684255079299,0.010229358553109691,0.05847585473452388,-0.038605068442805646,0.02083863353389348,0.029044399582604408
