date,Growth 70/30_drawdown,Balanced 50/50_drawdown,benchmark_drawdown
2020-01-31,0.0,0.0,0.0
2020-02-29,-0.0443105112238974,-0.033468001911882594,-0.07916547168656818
2020-03-31,-0.09368899310024092,-0.06975266678485226,-0.19415136502455255
2020-04-30,0.0,0.0,-0.09182171576803477
2020-05-31,0.0,0.0,-0.04855122624729924
2020-06-30,0.0,0.0,-0.0316779685074704
2020-07-31,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0
2020-09-30,-0.052964546927731226,-0.049750117341986755,-0.037443374448828504
2020-10-31,-0.07462570816981695,-0.06668511875078231,-0.061443472352652684
2020-11-30,-0.016924441188303274,-0.0395389800287429,0.0
2020-12-31,0.0,0.0,0.0
2021-01-31,-0.007842033190826658,-0.014812357960005573,-0.010190540587581731
2021-02-28,-0.027392570364583202,-0.046290926152656287,0.0
2021-03-31,-0.01904027065739844,-0.04355630709856595,0.0
2021-04-30,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0
2021-06-30,0.0,-0.004427628294215391,0.0
2021-07-31,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0
2021-09-30,-0.04945263302411196,-0.044533383374148916,-0.04660527022518435
2021-10-31,0.0,0.0,0.0
2021-11-30,0.0,0.0,-0.008034704935967918
2021-12-31,0.0,0.0,0.0
2022-01-31,-0.06626535786973897,-0.05212885924325361,-0.052741385131259366
2022-02-28,-0.07837266801424614,-0.044328990012772906,-0.08070139929134046
2022-03-31,-0.04474000121231447,-0.015943561756205038,-0.04614468303161223
2022-04-30,-0.14158520449789713,-0.093024825050399,-0.12986363546969193
2022-05-31,-0.15951827836973353,-0.1150106223671924,-0.1278995524715133
2022-06-30,-0.2158751557314792,-0.1613568381921373,-0.19981338411732763
2022-07-31,-0.1530686654516028,-0.1195774584277074,-0.1261261279717324
2022-08-31,-0.1909731882921275,-0.1551266843836473,-0.16178179380693136
2022-09-30,-0.25764778477334993,-0.21183340924777672,-0.23927170365660066
2022-10-31,-0.24083667019325294,-0.20310278883248378,-0.17744317393408793
2022-11-30,-0.19203409214535416,-0.1471764559274389,-0.13171600023600138
2022-12-31,-0.23590982368222135,-0.17311529414085558,-0.18175368123865743
2023-01-31,-0.1657827558675523,-0.10530156232774335,-0.13029630461218733
2023-02-28,-0.18131716806226672,-0.1309231235828433,-0.1521630315903103
2023-03-31,-0.1074740115490852,-0.05527493064951505,-0.12072705078071644
2023-04-30,-0.10199164271708538,-0.04880225455265419,-0.10668080489571696
2023-05-31,-0.05604895323644388,-0.017689465001428095,-0.1025570637061608
2023-06-30,-0.020685954240399984,0.0,-0.044402875610899284
2023-07-31,0.0,0.0,-0.013122999861239881
2023-08-31,-0.014214380245043179,-0.013803881620549685,-0.029161941176663264
2023-09-30,-0.06334666639416897,-0.062326904398237626,-0.07521293385734362
2023-10-31,-0.056173082341385294,-0.037446160104233406,-0.09528875475417065
2023-11-30,0.0,0.0,-0.012649085112357294
2023-12-31,0.0,0.0,0.0
2024-01-31,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,-0.021647947054515115,-0.0069213984474676415,-0.04031962876347317
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0
2024-08-31,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,-0.008923538766048789
2024-11-30,0.0,0.0,0.0
2024-12-31,-0.0010482828090156993,-0.004774055416794654,-0.02406006954082074
2025-01-31,0.0,0.0,0.0
2025-02-28,-0.01345935855562097,-0.004409187003626691,-0.012694838334663117
2025-03-31,-0.03788955790155313,0.0,-0.0677068016056932
2025-04-30,-0.012825613631365362,0.0,-0.07578993950540802
2025-05-31,0.0,0.0,-0.017707910509884295
2025-06-30,0.0,0.0,0.0
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,0.0,0.0
