series,133690,402970,069500,168580,200250,101280,267440,385560,132030,QQQ,SPY,EWY,EEM,EWJ,TLT,GLD
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.19331697600075304,0.18913324534019874,-0.11857479959343427,0.9593989705742041,0.8581026564805343,0.49043172631002363,0.46211099637931824,0.5542115386282339,0.3701649765362173,0.00221359959255748
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.08328309526778625,0.02697022287036301,-0.1923950485203593,0.34661262096736883,0.5945980699294429,0.25207174823801026,0.22076824327427963,0.4606248284499392,0.3534606565157761,0.11456219137616677
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.3374138938088468,0.17161799885067516,0.26342917508680463,0.5518187014270859,0.49252900618179596,0.9683257521349684,0.7738470711587185,0.6353006955376671,0.2481886172309817,0.18844822117734528
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.11864950834016809,0.0028445596138068105,0.08273629243768282,0.16946140769699714,0.12276909264095702,0.19794355717502427,0.5575943152671973,0.23164658018628215,0.33423596043238124,0.220316027087446
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.09117395980228117,0.05397455105281232,-0.16727981427189076,0.40921207104631385,0.48104870574400516,0.24490836503002753,0.3285685106221641,0.4919038436020463,0.2920282800530862,0.09164618363679439
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.34172608329942206,0.27879660332405787,0.07144350110987657,0.5977935682526154,0.6379835051509885,0.6027467575321127,0.552669075791897,0.8975697900879825,0.3824348826802983,0.1741789467795749
267440,0.19331697600075304,0.08328309526778625,0.3374138938088468,0.11864950834016809,0.09117395980228117,0.34172608329942206,1.0,0.7986894659815114,0.266667817088572,0.31558965120182536,0.27958055013768085,0.40193230841471506,0.41404929117137595,0.4533870633333943,0.6787820590950988,0.08337164545105204
385560,0.18913324534019874,0.02697022287036301,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.7986894659815114,1.0,0.23842833920187922,0.2822972109023447,0.25192374057165184,0.1968373469684018,0.19527949246770682,0.3227801976512438,0.43766385237901395,0.028801437897870315
132030,-0.11857479959343427,-0.1923950485203593,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,0.266667817088572,0.23842833920187922,1.0,-0.11342313973683504,-0.15519258854796522,0.29535308509461267,0.27921974138340294,0.08445901608998374,-0.025483449755880173,0.7416098221956807
QQQ,0.9593989705742041,0.34661262096736883,0.5518187014270859,0.16946140769699714,0.40921207104631385,0.5977935682526154,0.31558965120182536,0.2822972109023447,-0.11342313973683504,1.0,0.9144024452245368,0.55442848379262,0.5594307787381936,0.6589036215856975,0.4609264269024404,-0.013881376866650037
SPY,0.8581026564805343,0.5945980699294429,0.49252900618179596,0.12276909264095702,0.48104870574400516,0.6379835051509885,0.27958055013768085,0.25192374057165184,-0.15519258854796522,0.9144024452245368,1.0,0.5059575012291709,0.5325406746335495,0.6868570311935183,0.45786319435509654,0.0022095603557897134
EWY,0.49043172631002363,0.25207174823801026,0.9683257521349684,0.19794355717502427,0.24490836503002753,0.6027467575321127,0.40193230841471506,0.1968373469684018,0.29535308509461267,0.55442848379262,0.5059575012291709,1.0,0.8130961337820223,0.6660428165904202,0.32276591851978426,0.25096010800606594
EEM,0.46211099637931824,0.22076824327427963,0.7738470711587185,0.5575943152671973,0.3285685106221641,0.552669075791897,0.41404929117137595,0.19527949246770682,0.27921974138340294,0.5594307787381936,0.5325406746335495,0.8130961337820223,1.0,0.686262977576187,0.5094472971057418,0.3503608852514292
EWJ,0.5542115386282339,0.4606248284499392,0.6353006955376671,0.23164658018628215,0.4919038436020463,0.8975697900879825,0.4533870633333943,0.3227801976512438,0.08445901608998374,0.6589036215856975,0.6868570311935183,0.6660428165904202,0.686262977576187,1.0,0.5532278938332852,0.26207296389621787
TLT,0.3701649765362173,0.3534606565157761,0.2481886172309817,0.33423596043238124,0.2920282800530862,0.3824348826802983,0.6787820590950988,0.43766385237901395,-0.025483449755880173,0.4609264269024404,0.45786319435509654,0.32276591851978426,0.5094472971057418,0.5532278938332852,1.0,0.2718526020529626
GLD,0.00221359959255748,0.11456219137616677,0.18844822117734528,0.220316027087446,0.09164618363679439,0.1741789467795749,0.08337164545105204,0.028801437897870315,0.7416098221956807,-0.013881376866650037,0.0022095603557897134,0.25096010800606594,0.3503608852514292,0.26207296389621787,0.2718526020529626,1.0
