date,Growth 70/30_annualized_return_pct,Balanced 50/50_annualized_return_pct,benchmark_annualized_return_pct
2024-12-31,17.831218089681688,16.170384134822257,14.453843305335523
2025-01-31,17.847901518760565,16.327912151668468,15.071408023101341
2025-02-28,18.59912582390426,17.019129279220337,16.686708540316776
2025-03-31,19.264553974263322,18.13665022723525,18.475141326074574
2025-04-30,17.05535750887659,16.45048011395933,15.474833018085587
2025-05-31,17.279054601540267,16.443051093224458,15.80797678565693
2025-06-30,17.13819757467341,16.193142781812632,16.56389495266266
2025-07-31,15.614653775242559,14.399274572083055,15.76346552041552
2025-08-31,14.429736602240917,13.886335619333767,14.676788416205344
2025-09-30,17.32166336498546,16.961755104794385,16.367144773089425
2025-10-31,18.888436192748912,18.34609799203548,17.508629838394985
2025-11-30,17.58018832906987,18.113993490655922,15.15164670887723
2025-12-31,16.542903341647342,17.10250304622074,14.505275953911312
