metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,21577.699004807615,34856.31591473264,33627.56213183977,26145.121912021732
CAGR,pct,12.227882710125382,20.59858785169959,19.95112004921784,15.507078826076759
Annualized Return,pct,12.351997119826482,20.374799695999364,19.76738133537121,15.921054923427514
Standard Deviation,pct,12.403024935180587,17.456440642033584,17.062339045287665,16.941598241176827
Best Year,pct,24.216200649280715,54.37907872130248,42.545055751417294,28.728800909857966
Worst Year,pct,-17.306553859031638,-9.95664660670349,-11.600903943489726,-18.17536688271668
Maximum Drawdown,pct,-22.24544149669051,-22.346466250790765,-20.051044742755785,-23.927182389219894
Sharpe Ratio (ex-post),ratio,0.7666171897192948,1.004281173665256,0.9918778597970289,0.7719124097537983
Sortino Ratio,ratio,1.198345875329159,1.7078270938076396,1.6547400494969677,1.2321273778178394
