metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,21577.7064702612,34856.315038699846,33627.5626946217,26145.135510113552
CAGR,pct,12.227888534415943,20.59858739705467,19.951120350338346,15.507087837368738
Annualized Return,pct,12.352001786299615,20.37479867281844,19.767380933166866,15.921062735308439
Standard Deviation,pct,12.403020285696739,17.456437125374006,17.062335463764963,16.941597242755634
Best Year,pct,24.216195128696818,54.3790767081046,42.54505373821933,28.72875564595374
Worst Year,pct,-17.306543496367844,-9.956648718085049,-11.600907972770235,-18.175360053974398
Maximum Drawdown,pct,-22.245428592808846,-22.34645488486494,-20.051031706618836,-23.927175560477586
Sharpe Ratio (ex-post),ratio,0.7666178533356711,1.0042813173677807,0.9918780444275993,0.7719129163515239
Sortino Ratio,ratio,1.1983471292974617,1.7078276899180738,1.6547407930668931,1.2321280228937905
