year,inflation,series::SPY Candidate::return,series::SPY Candidate::balance,series::benchmark::return,series::benchmark::balance,asset::SPY::return,asset::QQQ::return,asset::SCHD::return,asset::EWY::return,asset::192090::return,asset::200250::return,asset::EWJ::return,asset::TLT::return,asset::GLD::return
2026,0.03303856050706311,0.08322659727233517,65642.79784598335,0.061210124873295024,35877.00621722396,0.08322659727233517,0.11548152492830766,0.23539076644439016,0.7581111213473981,-0.013152650458350013,-0.17447714949651405,0.14528819743091792,-0.06803575265808437,-0.013698048789798745
2025,0.02653304114557753,0.1511021994821946,60599.3224421169,0.23105272068266336,33807.636561616455,0.1511021994821946,0.17621892581168397,0.027208533733135143,0.918875028631658,0.21395393845558353,-0.004626060138781751,0.22840600205373174,0.01818737864168063,0.6148184716811123
2024,0.028706909675099812,0.42165319334260465,52644.60659477199,0.20847091563495534,27462.379143980837,0.42165319334260465,0.4344664151883817,0.2628032569556289,-0.0963712986829458,0.3029882738620604,0.19566720442498253,0.22052051685183738,0.042047905845173705,0.42956383368170137
2023,0.033159099427102934,0.28233159752502,37030.55487885443,0.13567922580304104,22724.898703541854,0.28233159752502,0.5792844742585592,0.06162955187790309,0.204060156843763,-0.1058624577226609,0.17907608695652177,0.2107585498978115,0.04194577142843858,0.1521537976406
2022,0.06404600402357152,-0.11898850538436279,28877.51884951265,-0.12801367043147704,20009.96248520178,-0.11898850538436279,-0.27823410709530216,0.0462593968931817,-0.203445361387513,-0.22903085614950014,-0.011284255776464303,-0.10655845293602417,-0.24988609268212947,0.07056048968396045
2021,0.07174340285065539,0.40518671950153706,32777.6868133953,0.13439151324142462,22947.564436134144,0.40518671950153706,0.39247023244555845,0.41305003365100457,0.0036022857771660366,0.08650486353763309,0.3096410978184374,0.09844500182124594,0.032992141380767226,0.03517025946051855
2020,0.013204191315779434,0.11098996706557851,23326.214487013196,0.18269211408806263,20228.96342953368,0.11098996706557851,0.39623609675022076,0.07900388241631173,0.3202410173435477,0.2779386917692499,0.02156721782889992,0.0864491809786434,0.09974105109442055,0.1728248141688815
2019,0.023195274699624457,0.36897671694010614,20995.882211811484,0.25303403375894096,17104.167000497517,0.36897671694010614,0.45001918447723255,0.3277029029554013,0.10821619224945889,0.3867782426778237,0.12222670431625682,0.23101139394043257,0.19929735022767026,0.22140551628345118
2018,0.020023809043401064,-0.0171163360554204,15336.916948259584,-0.02576155490053289,13650.201462754534,-0.0171163360554204,0.026475717711141655,-0.025728186698091182,-0.16359900034002273,-0.24871117817175903,-0.025933202357564022,-0.1009233506324202,0.023814211505853056,0.02769936858222133
2017,0.021299307195522532,0.07963032846827511,15604.00026052764,0.07030925568715962,14011.150485198605,0.07963032846827511,0.17186441941546238,0.07092856070050257,0.2757999896934069,0.17595741534821818,0.2194537613799712,0.09972913315935505,-0.031633163206654435,-0.012006841993465467
2016,0.020507989115119862,0.15175349744759736,14453.095517116311,0.08090602531132807,13090.749622830426,0.15175349744759736,0.10599192697123638,0.19570638532972295,0.11978150717190106,-0.11106729758149303,-0.014636449480642022,0.05355300621401393,0.0502119712528446,0.1254812802924219
2015,0.006387247515364791,0.0775215206897304,12548.775019260494,0.04806280179850808,12110.9044785461,0.0775215206897304,0.16730791830436864,0.06284865284767749,-0.011513648193830273,0.13332340235364204,-0.037272727272727124,0.16717582465570913,0.042557057343975746,-0.06301184485077371
2014,0.006531213919623191,0.1645962311015301,11645.9623110153,0.1555514094921997,11555.514094921997,0.1645962311015301,0.2147037370270648,0.15809762749213396,-0.06595627426471429,0.7486324563688458,0.08641975308641947,0.02611939501453886,0.22364150444544206,-0.022145273368051388
