metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,5.137086635259131,5.282150919851535,4.394560821200068
CAGR,pct,19.941242458559838,20.312932317048826,17.878622806765176
Annualized Return,pct,19.210169605609202,19.287342507676623,17.690016593731432
Expected Return,pct,19.210169605609202,19.287342507676627,17.690016593731432
Standard Deviation,pct,13.398112164598322,11.499993547209614,15.064740017457275
Best Year,pct,40.37651423058699,47.74652290273404,43.4116244053554
Worst Year,pct,-2.799038670560472,0.24746533468762433,-13.336259062779998
Maximum Drawdown,pct,-15.671042238286958,-11.221148940745152,-17.40989191862605
Sharpe Ratio (ex-post),ratio,1.147227807780435,1.3432929058298682,0.9194007874719717
Sortino Ratio,ratio,1.8858336542557528,2.4203933906933472,1.4655839395599588
