asset,Current Portfolio,KAW Native Proxy,QQQ 100%
contribution_QQQ,5123.650587960584,0.0,12584.1018402414
contribution_SPMO,2853.248734176988,0.0,0.0
contribution_AIA,971.8167796972975,0.0,0.0
contribution_XLE,962.012717057863,0.0,0.0
contribution_SCHD,580.5430745692098,0.0,0.0
contribution_GLD,5213.102302205039,2629.0081796809204,0.0
contribution_138920,166.63795126518502,0.0,0.0
contribution_133690,0.0,1075.9682577484682,0.0
contribution_402970,0.0,802.4194930830024,0.0
contribution_069500,0.0,1619.2161549880257,0.0
contribution_192090,0.0,258.9751176673482,0.0
contribution_200250,0.0,63.67802877773043,0.0
contribution_101280,0.0,438.2370160322213,0.0
contribution_267440,0.0,-491.31012456289136,0.0
contribution_385560,0.0,-820.908554970899,0.0
