date,Current Portfolio_annualized_return_pct,KAW Native Proxy_annualized_return_pct,QQQ 100%_annualized_return_pct,benchmark_annualized_return_pct
2024-10-31,17.68870885374245,6.429033269966822,14.712034763479775,15.181478972495576
2024-11-30,18.525168785638613,6.460729378629715,15.60107737911338,17.382908711807254
2024-12-31,19.233350468861808,6.258266707523319,17.81005155287094,16.718067788223976
2025-01-31,21.47046272031481,8.20715013418869,21.97378187230379,18.605701329489644
2025-02-28,21.025157842507802,8.593088592736041,21.870909268956453,19.848506650424792
2025-03-31,19.46079902091167,9.073281873806028,16.95930584208334,16.185314077643298
2025-04-30,19.888148190012522,10.1057002415041,20.128914588160974,16.315807540184046
2025-05-31,21.472134011477518,10.603525080692933,23.78431990997698,18.06642654939108
2025-06-30,23.915444910739314,12.071171462732666,28.09662199914291,21.40686835877521
2025-07-31,23.357021232353215,11.361684976782671,25.198229227178714,19.81141944376659
2025-08-31,24.21386035296058,13.01592617685301,26.091834193815842,20.658109020968496
2025-09-30,28.016044709919075,15.93425523289589,30.9625443667356,24.00198521081083
2025-10-31,28.461953247462258,17.765269954696162,32.2001021477083,22.610930578068754
2025-11-30,29.97602469706695,17.44396576166267,33.36616661519969,24.41767390226166
2025-12-31,32.57510317326013,19.133811007038748,38.637165907754834,28.391597044775008
2026-01-31,33.32374309209429,18.866947774986787,35.59413915393221,27.12858791470778
2026-02-28,33.5899251479026,20.75508901216534,31.771973252385433,25.074236866150446
2026-03-31,30.948368842207774,17.47391449475575,28.510778254696877,24.162549704654413
2026-04-30,32.29447649219026,17.98119454965086,32.35552422421275,25.48576139573604
2026-05-31,35.763208744998984,20.42487363407748,34.6777314888508,28.63162463517479
2026-06-30,34.078282231247,19.84944456087321,33.40028745414914,26.965970589420873
2026-07-31,29.160096458220796,16.574734465218775,26.580008386967545,23.483848703069164
2026-08-31,29.299795910035108,16.84107899773606,26.19572404080406,22.714778693228688
