date,TO-BE TIME Nasdaq Active_annualized_return_pct,TO-BE QQQ Proxy_annualized_return_pct,TO-BE QLD Proxy_annualized_return_pct,TO-BE PTF Proxy_annualized_return_pct,benchmark_annualized_return_pct
2025-05-31,22.825127782823262,19.245028736891733,22.67715589953574,18.590481572953045,18.06642346776841
2025-06-30,28.502118701331703,23.125499722930478,28.733307255185657,22.843582495789548,21.406857997989515
2025-07-31,28.666988114164127,22.71256253985976,26.982893811457377,21.75848184364979,19.811423342922364
2025-08-31,28.922224301280618,23.298725278312737,28.38408440473319,21.89657822466289,20.658099191268818
2025-09-30,34.55942335723427,28.169643996262074,35.67914364566172,27.572599947873844,24.00198531880877
2025-10-31,33.99487280022977,27.64299882833594,35.33681619641938,27.165864761212255,22.61092349743603
2025-11-30,34.490520417985636,28.075402465232102,34.94976440533717,26.947599075876894,24.41767390226164
2025-12-31,37.390226594756996,31.30162022486831,39.59460675410573,29.820458836353335,28.391593473099054
2026-01-31,40.91041278605631,33.490254502813755,40.52302829848698,33.533173431901034,27.12858415705528
2026-02-28,40.9876118952421,33.56453149579315,40.40930009963757,34.73223092920061,25.074233508194553
2026-03-31,36.864996661924906,30.51656317137006,35.23053854852167,31.998857100523104,24.1625464903543
2026-04-30,42.23551620928496,33.105288154165315,40.02585212020844,37.36277041934273,25.485764593211393
2026-05-31,47.59162279893727,37.84388125994098,45.401810798774235,42.10520983313977,28.631627897748977
2026-06-30,46.6225832328959,36.320309834942385,42.74824530328485,41.21981584290515,26.965964540721664
2026-07-31,39.338699767107514,31.31238578865365,36.095859424148344,32.82973039146695,23.48384585489436
2026-08-31,39.55945146107946,31.817757394749393,37.43746528130454,33.251830476881054,22.714775816032184
