series,133690,402970,069500,168580,200250,101280,TLT,385560,GLD,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.3701653831163535,0.18913324534019874,0.00221359959255748,0.4893091921730333,0.6351576775259442,0.8461219108307693
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.3534618311835922,0.02697022287036301,0.11456219137616677,0.4752603411472524,0.4458961744044089,0.5898380887227046
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.24818859402858356,0.17161799885067516,0.18844822117734528,0.47123689820359016,0.6839800714796208,0.48473995078784865
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.33423553117253235,0.0028445596138068105,0.220316027087446,0.22788951374872968,0.376643816550996,0.11791445333282917
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.29202893765075827,0.05397455105281232,0.09164618363679439,0.33706121507325215,0.43232955046565996,0.4716205724008707
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.3824354021570543,0.27879660332405787,0.1741789467795749,0.5839000434727586,0.710545320987751,0.653210151752379
TLT,0.3701653831163535,0.3534618311835922,0.24818859402858356,0.33423553117253235,0.29202893765075827,0.3824354021570543,1.0,0.4376652859682118,0.27185343947790047,0.4660071905449477,0.7268178809767812,0.44504457293129474
385560,0.18913324534019874,0.02697022287036301,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.4376652859682118,1.0,0.028801437897870315,0.1372796785315847,0.5050434526136294,0.23512595714366352
GLD,0.00221359959255748,0.11456219137616677,0.18844822117734528,0.220316027087446,0.09164618363679439,0.1741789467795749,0.27185343947790047,0.028801437897870315,1.0,0.8322904364245688,0.5065149429690788,0.00019321197094837567
optimized,0.4893091921730333,0.4752603411472524,0.47123689820359016,0.22788951374872968,0.33706121507325215,0.5839000434727586,0.4660071905449477,0.1372796785315847,0.8322904364245688,1.0,0.8106464698221771,0.5009930217844906
provided,0.6351576775259442,0.4458961744044089,0.6839800714796208,0.376643816550996,0.43232955046565996,0.710545320987751,0.7268178809767812,0.5050434526136294,0.5065149429690788,0.8106464698221771,1.0,0.6679658320250451
benchmark,0.8461219108307693,0.5898380887227046,0.48473995078784865,0.11791445333282917,0.4716205724008707,0.653210151752379,0.44504457293129474,0.23512595714366352,0.00019321197094837567,0.5009930217844906,0.6679658320250451,1.0
