year,ticker,return
2004,QQQ,0.03022279516376969
2005,QQQ,0.01565417121372925
2006,QQQ,0.07144081134302382
2007,QQQ,0.1902805071012854
2008,QQQ,-0.41727146470655496
2009,QQQ,0.5468409835613188
2010,QQQ,0.20143760630529517
2011,QQQ,0.0347577663417562
2012,QQQ,0.18112513835481758
2013,QQQ,0.3663419938937522
2014,QQQ,0.19181396121143268
2015,QQQ,0.09435922417643883
2016,QQQ,0.07097931954450054
2017,QQQ,0.32663524757019924
2018,QQQ,-0.00126221473936583
2019,QQQ,0.3896154377300365
2020,QQQ,0.484060985533437
2021,QQQ,0.27419758505657144
2022,QQQ,-0.32576991585864634
2023,QQQ,0.5485556164079817
2024,QQQ,0.255782552435569
2025,QQQ,0.2077254825855681
2026,QQQ,0.16952757877712177
2004,SPY,0.03012089175593302
2005,SPY,0.048283046911781646
2006,SPY,0.15845167544879568
2007,SPY,0.05146282122041135
2008,SPY,-0.367950176197518
2009,SPY,0.2635175405511727
2010,SPY,0.1505616462358006
2011,SPY,0.018949852821592783
2012,SPY,0.15990308244916718
2013,SPY,0.32307825568155835
2014,SPY,0.13463771716106265
2015,SPY,0.012343016061667322
2016,SPY,0.11997884934168712
2017,SPY,0.21705420396106678
2018,SPY,-0.045689707782749056
2019,SPY,0.3122381221706716
2020,SPY,0.18331615614995878
2021,SPY,0.28728780803321574
2022,SPY,-0.18175374952608536
2023,SPY,0.2617580723704003
2024,SPY,0.2488645481531
2025,SPY,0.17719067981214542
2026,SPY,0.13081637433046645
2004,GLD,-0.029255313077842793
2005,GLD,0.17762563309387525
2006,GLD,0.2254749290531417
2007,GLD,0.3045404252304236
2008,GLD,0.04923596414832221
2009,GLD,0.24029128204079053
2010,GLD,0.29270342350868805
2011,GLD,0.09566035291009234
2012,GLD,0.06599117321400438
2013,GLD,-0.2832983601746558
2014,GLD,-0.02187393089432288
2015,GLD,-0.10670895008973502
2016,GLD,0.08032723831481015
2017,GLD,0.1280905103306913
2018,GLD,-0.019409636039321776
2019,GLD,0.17855665069265414
2020,GLD,0.24814561391482015
2021,GLD,-0.04148908875959545
2022,GLD,-0.007721146890384167
2023,GLD,0.12691581500094418
2024,GLD,0.2665690600092574
2025,GLD,0.6367653308824839
2026,GLD,0.030556927515688503
2004,IEF,0.01167327259530837
2005,IEF,0.026382540675900845
2006,IEF,0.025161782408254174
2007,IEF,0.10378747044071801
2008,IEF,0.17917467955388666
2009,IEF,-0.0659318134296295
2010,IEF,0.09359842593186274
2011,IEF,0.15649597818539362
2012,IEF,0.036640058360181804
2013,IEF,-0.06090273837006066
2014,IEF,0.09068228622691343
2015,IEF,0.015077722093141954
2016,IEF,0.010016578316441649
2017,IEF,0.025528888436683106
2018,IEF,0.009877538296438892
2019,IEF,0.08029514617453759
2020,IEF,0.1000670934784551
2021,IEF,-0.03327817636768127
2022,IEF,-0.15155187307463047
2023,IEF,0.03644449504039793
2024,IEF,-0.006342527069448045
2025,IEF,0.08031970062939497
2026,IEF,-0.013281887340085285
