date,Current Portfolio_drawdown,KAW Core Revised Internal_drawdown,QQQ 100%_drawdown,benchmark_drawdown
2015-11-30,0.0,0.0,0.0,0.0
2015-12-31,-0.0009372730639796156,0.0,0.0,0.0
2016-01-31,0.0,0.0,-0.052250845319774086,-0.02538144286092181
2016-02-29,0.0,0.0,-0.0396166675048123,0.0
2016-03-31,-0.034779636932865454,-0.03540765001355706,-0.056760782865067916,-0.019009288952860803
2016-04-30,-0.026696336529812847,-0.036891382299692355,-0.09226286408308582,-0.02101331078184232
2016-05-31,0.0,0.0,-0.0076972974188647125,0.0
2016-06-30,-0.0042831687056908985,0.0,-0.060093338684154674,-0.027353152059930497
2016-07-31,0.0,0.0,-0.017289507455110487,-0.0163108090034203
2016-08-31,-0.012896777401798953,-0.011869755717901054,-0.01484682193057374,-0.022944670976255854
2016-09-30,-0.009775845337544942,-0.022167838480025126,-0.004623573022962901,-0.03412794595631807
2016-10-31,0.0,-0.008616463761642712,0.0,-0.01203351120448215
2016-11-30,-0.0008359965269651992,-0.033572030885478,0.0,0.0
2016-12-31,0.0,-0.005231205310064713,0.0,0.0
2017-01-31,-0.0019090076204349993,-0.00742834623526889,0.0,-0.01257578693807293
2017-02-28,0.0,-0.012006892005356318,0.0,-0.004734899071518139
2017-03-31,-0.013243715298238312,-0.0172225113591411,0.0,-0.018360094146136596
2017-04-30,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0
2017-07-31,0.0,-0.004671205121905331,0.0,-0.003852211382655457
2017-08-31,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0
2017-11-30,-0.02131589834256664,-0.025793584100748612,-0.019121636245736928,-0.008685740181639368
2017-12-31,-0.01474279045392024,-0.017069901112479857,-0.013593439866359636,-0.007034365227483685
2018-01-31,0.0,0.0,0.0,0.0
2018-02-28,-0.014988073500302623,-0.03077788960064809,-0.006623730752611912,-0.030206260990175315
2018-03-31,-0.04878473994293997,-0.04501296639148822,-0.06249345730052425,-0.07198470479611518
2018-04-30,-0.03683023878850811,-0.04664066536910583,-0.051141408315487746,-0.06064495295884942
2018-05-31,-0.006242246739256663,-0.03376971308416232,0.0,-0.028363255190271497
2018-06-30,0.0,-0.01861113635649725,0.0,0.0
2018-07-31,0.0,-0.021255247689154766,0.0,0.0
2018-08-31,0.0,-0.016005029723150432,0.0,0.0
2018-09-30,-0.0010885202636622404,-0.030619409472079306,-0.005623139074699468,0.0
2018-10-31,-0.034716735413971134,-0.058596219162445506,-0.07035017456054726,-0.04785530633941726
2018-11-30,-0.04384935199105955,-0.05285443471536044,-0.08966708342075125,-0.04782185858421584
2018-12-31,-0.08556888770785231,-0.05181755124736165,-0.1735578405411159,-0.1322192910740454
2019-01-31,-0.025643262187854177,-0.021428243765635346,-0.10009273613334746,-0.06886909940444397
2019-02-28,-0.00431252908078994,-0.0041694969261187875,-0.06807676533483276,-0.03339814432562138
2019-03-31,0.0,0.0,-0.014809981821773843,0.0
2019-04-30,0.0,0.0,0.0,0.0
2019-05-31,-0.020982436825273787,0.0,-0.06243311655945827,-0.04355377236532809
2019-06-30,0.0,0.0,-0.019172281955671555,-0.005293720417838266
2019-07-31,0.0,0.0,0.0,0.0
2019-08-31,0.0,0.0,-0.0017534349742177602,0.0
2019-09-30,-0.007220256177030926,-0.0043989891144684545,-0.00023507755923157791,0.0
2019-10-31,-0.008754746605420305,-0.014555974613234435,0.0,-0.0071594025318534316
2019-11-30,0.0,-0.0053035072497770175,0.0,0.0
2019-12-31,0.0,-8.428085312450762e-05,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-29,-0.030397737831127536,0.0,-0.041431558701179094,-0.060401517123607196
2020-03-31,-0.09178604288224079,-0.04088251588323644,-0.10734612493096607,-0.17409891918626053
2020-04-30,0.0,0.0,0.0,-0.0720536496470463
2020-05-31,0.0,0.0,0.0,-0.00778856695670993
2020-06-30,0.0,-0.0023588927512626645,0.0,-0.0224853285559089
2020-07-31,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,-0.06021636274095721,-0.03005936452423985,-0.07931608796650513,-0.056304911315446016
2020-10-31,-0.10168349359887718,-0.07221207799724816,-0.13074216374868486,-0.1069230655617539
2020-11-30,-0.061984067210310356,-0.04388838998417022,-0.054723277300851914,-0.03186041846384613
2020-12-31,-0.023512057486674953,-0.017599238939803752,-0.021304493068156738,-0.012275233773343164
2021-01-31,-0.005182709548280817,-0.011733406349272668,0.0,0.0
2021-02-28,-0.004714107192006822,-0.02161758947885406,0.0,0.0
2021-03-31,0.0,-0.023787544095404733,0.0,0.0
2021-04-30,0.0,-0.018594083405972683,0.0,0.0
2021-05-31,0.0,0.0,-0.002486324922903238,0.0
2021-06-30,0.0,0.0,0.0,0.0
2021-07-31,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0
2021-09-30,-0.01851174694814195,-0.004772027398449841,-0.03622426351217134,-0.025774610118277086
2021-10-31,0.0,0.0,0.0,0.0
2021-11-30,0.0,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-0.03517371737926134,-0.029893453727822927,-0.10657720328927134,-0.03855518362585819
2022-02-28,-0.01751411016502391,-0.029924843644656418,-0.123570940185597,-0.0747527538458389
2022-03-31,0.0,-0.029957349813330203,-0.06970732313763606,-0.02641670808358798
2022-04-30,-0.0292615064151428,-0.05641030854622153,-0.1579392418931973,-0.06960672574012827
2022-05-31,-0.05179107299469954,-0.08725641802515216,-0.19119818989859938,-0.0898975290819648
2022-06-30,-0.08289137687837367,-0.08808010036524949,-0.2359700200463587,-0.1340307147450912
2022-07-31,-0.03024644839723134,-0.0592814687917278,-0.13510279348302923,-0.048821666684369824
2022-08-31,-0.028941457587081998,-0.06056359516960996,-0.149645577886666,-0.05444502267398177
