date,TLT Local USD_annualized_return_pct,EDV Local USD_annualized_return_pct,ZROZ Local USD_annualized_return_pct,benchmark_annualized_return_pct
2024-10-31,-11.834695718704236,-16.639966983612663,-18.260099754787085,8.970572950061273
2024-11-30,-12.059532281238639,-16.92643853054393,-18.681291620320184,11.394127447809144
2024-12-31,-13.385945606750738,-18.671242745535068,-20.735986036661338,8.840827011595277
2025-01-31,-12.081695260857439,-17.37994727032478,-19.80773457619558,11.807820869184638
2025-02-28,-9.949979191173297,-14.568051138755312,-16.80362497321909,12.450142469090043
2025-03-31,-8.623717771036477,-13.389453700563648,-15.795583564195248,8.972872780770814
2025-04-30,-5.988875912009039,-10.30335599180333,-12.577923261378709,12.035646922153376
2025-05-31,-6.29678341632065,-10.599008040826552,-13.197758663782011,14.249187497133198
2025-06-30,-5.0669319908577375,-9.064570979825215,-11.687286512968898,19.55440990633306
2025-07-31,-6.183095574145547,-10.301709629752875,-12.94113722570016,16.979422360335562
2025-08-31,-4.710398520427717,-9.07706974076865,-12.01774686238889,19.420936850172545
2025-09-30,-0.7811922350466682,-3.8959276616518324,-6.514844683710708,24.79288205377006
2025-10-31,1.7377692733520966,-0.08239403683791835,-2.3165492345430194,22.542868999558465
2025-11-30,-0.48762276756955103,-3.3645366741121507,-5.530939485705955,20.43094262158851
2025-12-31,-0.500748851013677,-3.8157083540447,-5.927169310656244,22.870059713459277
2026-01-31,-2.9250585019074737,-6.949985930888969,-9.284664353030003,20.985945201127553
2026-02-28,0.1987478517844199,-2.8344338577118267,-5.147407340880683,21.664742684421
2026-03-31,-2.778127974964295,-6.656049526606367,-8.896423771149763,18.185268890915808
2026-04-30,-3.1601066270786293,-7.2203162593617805,-9.442352267763866,21.5430204407278
2026-05-31,-1.9931041117207116,-5.580708966703185,-7.776472876064844,23.449103524247207
2026-06-30,-1.6847665579433735,-5.231449862509052,-7.470649812729535,20.476105483392203
2026-07-31,-2.337929832857799,-6.375574175820365,-8.816027980617458,19.203378337649358
2026-08-31,-0.9090195546561874,-4.236326109252264,-6.569798538359994,21.038238062695157
