year,inflation,series::Portfolio 1::return,series::Portfolio 1::balance,series::benchmark::return,series::benchmark::balance,asset::QQQ::return,asset::SPY::return,asset::GLD::return,asset::IEF::return
2026,0.03303856050706311,0.10547968104908945,118821.90260736491,0.13081637433046645,96881.0699562307,0.16952757877712177,0.13081637433046645,0.030556927515688503,-0.013281967723542731
2025,0.02653304114557753,0.30593186380619675,107484.47451752715,0.17719067981214542,85673.56482929608,0.20772548258556833,0.17719067981214542,0.6367653308824839,0.08031959848297543
2024,0.028706909675099812,0.23227247482536617,82304.81045485706,0.24886463075613463,72777.98431344,0.255782552435569,0.24886463075613463,0.2665690600092574,-0.006342178376444796
2023,0.033159099427102934,0.27678058730212474,66791.0808171878,0.2617577783124514,58275.31865433327,0.5485557975099229,0.2617577783124514,0.12691581500094418,0.036444501646886396
2022,0.06404600402357152,-0.17201376627597909,52312.105526541054,-0.18175361295122983,46185.82080965974,-0.32577004787249186,-0.18175361295122983,-0.007721146890384167,-0.15155170064323398
2021,0.07174340285065539,0.14633972275649354,63179.921834277025,0.28728758171371016,56444.8820559313,0.274197813547725,0.28728758171371016,-0.04148908875959545,-0.03327876368333116
2020,0.013204191315779434,0.28850837363525694,55114.483586379014,0.18331636419012876,43847.91934432294,0.4840606151469873,0.18331636419012876,0.24814561391482015,0.10006751875289188
2019,0.023195274699624457,0.27334301784694337,42773.86528027368,0.3122385699692001,37055.1111023744,0.3896156449289767,0.3122385699692001,0.17855665069265414,0.08029496947839121
2018,0.020023809043401064,-0.013650910947099915,33591.78530903534,-0.04569009559444348,28238.090199744787,-0.0012619047249515791,-0.04569009559444348,-0.019409636039321776,0.009877358092439836
2017,0.021299307195522532,0.20158230844616587,34056.690153473384,0.2170538973343037,29590.063007188855,0.3266350178753672,0.2170538973343037,0.1280905103306913,0.025528508428008134
2016,0.020507989115119862,0.09025849744733105,28343.202054559235,0.11997920445683707,24312.861634147466,0.07097917253627672,0.11997920445683707,0.08032723831481015,0.010016106059715701
2015,0.006387247515364791,0.005064493647993995,25996.772436005213,0.012343198029517666,21708.315241387547,0.09435869599579227,0.012343198029517666,-0.10670895008973502,0.015078944430737762
2014,0.006531213919623191,0.09991851397570972,25865.775380888266,0.13463774462045586,21443.632242150536,0.19181430791078635,0.13463774462045586,-0.02187393089432288,0.09068118885142828
2013,0.015128383667573297,0.08133571705541454,23516.08328456547,0.3230778073284779,18899.100037716067,0.3663419874080278,0.3230778073284779,-0.2832983601746558,-0.060902330627806034
2012,0.017595049796895523,0.1274539496932241,21747.254727331238,0.15990269438646076,14284.193970327871,0.1811254617984024,0.15990269438646076,0.06599117321400438,0.03664014701597873
2011,0.03062066838419386,0.06843764584911072,19288.81861050607,0.018950168721545868,12314.993351992862,0.034757851953078456,0.018950168721545868,0.09566035291009234,0.1564977891741246
2010,0.01437793022217937,0.21009320302176282,18053.29369050528,0.15056172415884062,12085.962326738914,0.20143729841907,0.15056172415884062,0.29270342350868805,0.0935981423377159
2009,0.028141231232083674,0.309230078457404,14918.928265545008,0.26351824226976794,10504.401522286682,0.5468413624335919,0.26351824226976794,0.24029128204079053,-0.06593220522465659
2008,-0.0002222800255385904,-0.21904291914198315,11395.19211407302,-0.367950515541256,8313.612871482337,-0.41727134933269994,-0.367950515541256,0.04923596414832221,0.17917333135011582
2007,0.04108813392417532,0.1734493464596243,14591.316723261443,0.0514624122848808,13153.420856915505,0.19028021718704746,0.0514624122848808,0.3045404252304236,0.10378867471429465
2006,0.025239777889954462,0.14204892798809454,12434.551834115744,0.15845252098868157,12509.644380280275,0.07144022698066355,0.15845252098868157,0.2254749290531417,0.025160428109742616
2005,0.03338549817423053,0.07748598078444058,10887.932670293938,0.04828257015746584,10798.581861260844,0.015654620352522297,0.04828257015746584,0.17762563309387525,0.02638285021673137
2004,0.033423180592991875,0.010494137693300987,10104.94137693301,0.030121283008526234,10301.212830085262,0.030223152687021804,0.030121283008526234,-0.029255313077842793,0.011674009079893466
