date,KAW Native Proxy Canonical_annualized_return_pct,KAW Core Revised Internal_annualized_return_pct,benchmark_annualized_return_pct
2024-10-31,6.428901048503932,5.895650185117907,15.18147056115129
2024-11-30,6.460410245200943,5.940818100463763,17.38291834764607
2024-12-31,6.258125703558237,6.169682804067067,16.718062474639694
2025-01-31,8.20709987315924,7.199419846415656,18.60570132948962
2025-02-28,8.592900770438817,8.032563339614928,19.848515553023848
2025-03-31,9.073208282823831,8.888384911226744,16.1853155901569
2025-04-30,10.105893015690825,8.960448939177358,16.315813625749833
2025-05-31,10.603570917432714,9.293958488578347,18.06642346776841
2025-06-30,12.071163187725876,10.06685388735795,21.40686086310213
2025-07-31,11.361608331311324,9.948302935895414,19.8114225645887
2025-08-31,13.015614953495923,10.86218224843547,20.658102467835015
2025-09-30,15.93433185091051,13.94701681063708,24.001989029190817
2025-10-31,17.76536898930845,16.233977933812938,22.610916416803683
2025-11-30,17.443872916966185,17.106031244875442,24.41767390226164
2025-12-31,19.133952292646093,19.103043504957707,28.391589901423476
2026-01-31,18.866736650154614,19.607767768282347,27.12858415705528
2026-02-28,20.754915966390474,21.230155677214047,25.074230150238996
2026-03-31,17.473798478859326,18.896872041648493,24.162549704654413
2026-04-30,17.980954100392665,18.706861798957796,25.4857677906871
2026-05-31,20.424704217729506,21.630724501296882,28.63162463517479
2026-06-30,19.84945582174791,21.636329361458873,26.965970589420895
2026-07-31,16.57452402396857,17.34068221437468,23.483848703069143
2026-08-31,16.841115509824345,17.66490938024812,22.71477006164
