metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,5.137086888692561,5.282150753770475,4.394560821200071
CAGR,pct,19.941243116025454,20.312931896729737,17.878622806765176
Annualized Return,pct,19.210170150726764,19.28734214847073,17.690014057458026
Expected Return,pct,19.210170150726764,19.28734214847073,17.690014057458026
Standard Deviation,pct,13.39811209806836,11.499993545665012,15.064722744376201
Best Year,pct,40.37650595839472,47.74653189083327,43.41163389095946
Worst Year,pct,-2.7990411018644634,0.2474687206650561,-13.336241308644537
Maximum Drawdown,pct,-15.671045034329012,-11.221145025639034,-17.409858731883244
Sharpe Ratio (ex-post),ratio,1.147227854163282,1.3432928747749777,0.9194016732905268
Sortino Ratio,ratio,1.885833826434337,2.420393620859996,1.4655852802674945
