year,inflation,series::SPY Candidate::return,series::SPY Candidate::balance,series::benchmark::return,series::benchmark::balance,asset::SPY::return,asset::QQQ::return,asset::SCHD::return,asset::EWY::return,asset::192090::return,asset::200250::return,asset::EWJ::return,asset::TLT::return,asset::GLD::return
2026,0.03303856050706311,0.08322650052519065,65642.79784598338,0.0612101299204324,35877.00595920058,0.08322650052519065,0.11548152492830766,0.23539076644439016,0.7581111213473981,-0.013152650458350013,-0.17447714949651405,0.14528819743091792,-0.06803575265808437,-0.013698048789798745
2025,0.02653304114557753,0.15110242377762906,60599.32785447658,0.23105278268820917,33807.636157685905,0.15110242377762906,0.17621920635390675,0.02720853373313492,0.918875028631658,0.21395393845558353,-0.004626060138781751,0.22840600205373085,0.018187473894793138,0.6148184716811123
2024,0.028706909675099812,0.4216530433029333,52644.60103871973,0.20847078303852484,27462.37743264045,0.4216530433029333,0.43446618091504874,0.26280315322486625,-0.09637140807276356,0.3029882738620604,0.19566720442498253,0.22052036042085432,0.042047629751362336,0.42956383368170137
2023,0.033159099427102934,0.28233191773351596,37030.554878854455,0.135679390877405,22724.899780853844,0.28233191773351596,0.579284909259473,0.06162982132088768,0.2040602162367302,-0.1058624577226609,0.17907608695652177,0.2107587050776476,0.041946041591801375,0.1521537976406
2022,0.06404600402357152,-0.11898872537995164,28877.51163856615,-0.12801364039215646,20009.960525300186,-0.11898872537995164,-0.2782344167286922,0.046259304564364445,-0.20344538880033902,-0.22903085614950014,-0.011284255776464303,-0.10655833969363826,-0.24988588300798953,0.07056048968396045
2021,0.07174340285065539,0.40518647119887574,32777.6868133953,0.13439125001573338,22947.561397977857,0.40518647119887574,0.3924702013096715,0.4130496083119628,0.0036023923026979876,0.08650486353763309,0.3096410978184374,0.09844472142648675,0.03299152058744692,0.03517025946051855
2020,0.013204191315779434,0.11099016338241618,23326.218608858417,0.18269232373415178,20228.965445263784,0.11099016338241618,0.39623655024452775,0.07900411720365996,0.32024101734354793,0.2779386917692499,0.02156721782889992,0.08644932060552346,0.09974160801421239,0.1728248141688815
2019,0.023195274699624457,0.36897681119056003,20995.882211811484,0.2530339609624155,17104.165672940395,0.36897681119056003,0.45001825360594294,0.32770311500639493,0.10821619224945866,0.3867782426778237,0.12222670431625682,0.23101150234734003,0.19929721227530184,0.22140551628345118
2018,0.020023809043401064,-0.017116595049562977,15336.915892353187,-0.025761487583026432,13650.201196305356,-0.017116595049562977,0.026476463320359578,-0.025728342301632345,-0.16359919811987322,-0.24871117817175903,-0.025933202357564022,-0.10092342980805735,0.02381436717638641,0.02769936858222133
2017,0.021299307195522532,0.0796305386259335,15604.003297956355,0.07030920509861094,14011.149243567454,0.0796305386259335,0.1718639783111413,0.0709284642387975,0.2758002913759623,0.17595741534821818,0.2194537613799712,0.09972913315935461,-0.03163321757493642,-0.012006841993465467
2016,0.020507989115119862,0.15175369990444,14453.095517116315,0.08090608081531903,13090.749081501695,0.15175369990444,0.1059921626644118,0.19570661745848894,0.11978140415319416,-0.11106729758149303,-0.014636449480642022,0.05355320811522124,0.05021197517840581,0.1254812802924219
2015,0.006387247515364791,0.07752113951992867,12548.772813419631,0.0480627321386391,12110.903355847018,0.07752113951992867,0.16730756296671,0.0628483213415143,-0.01151347279214121,0.13332340235364204,-0.037272727272727124,0.1671756009800498,0.04255696421361965,-0.06301184485077371
2014,0.006531213919623191,0.16459643835948512,11645.964383594852,0.15555137917497985,11555.513791749798,0.16459643835948512,0.2147040385293697,0.15809748347169372,-0.06595642266425605,0.7486324563688458,0.08641975308641947,0.026119395014538638,0.22364141452244213,-0.022145273368051388
