metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,5.1370858928744125,5.282150133845498,4.3945608212000735
CAGR,pct,19.94124053264006,20.312930327819245,17.8786228067652
Annualized Return,pct,19.210168061579175,19.287340834023908,17.690016198946815
Expected Return,pct,19.210168061579175,19.287340834023908,17.690016198946815
Standard Deviation,pct,13.398112765768616,11.499993553910777,15.064737241077935
Best Year,pct,40.376506665085856,47.74651972327495,43.41166427249519
Worst Year,pct,-2.7990361612843073,0.24746049524133618,-13.336273527968157
Maximum Drawdown,pct,-15.671041502110794,-11.221145362530704,-17.409883324124586
Sharpe Ratio (ex-post),ratio,1.1472276410622306,1.3432927595120174,0.9194009307085046
Sortino Ratio,ratio,1.885833565479382,2.4203932135882247,1.465584294030661
