date,KODEX 200 100%_drawdown
2020-01-31,0.0
2020-02-29,-0.058072193573978526
2020-03-31,-0.16568821896072983
2020-04-30,-0.09063863546211814
2020-05-31,-0.056921856406187965
2020-06-30,-0.01130503768345903
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,-0.028823550685327826
2020-11-30,0.0
2020-12-31,0.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,0.0
2021-06-30,0.0
2021-07-31,-0.030799014431538208
2021-08-31,-0.04228893246844678
2021-09-30,-0.08309448383366014
2021-10-31,-0.1124604012671594
2021-11-30,-0.1443656660129733
2021-12-31,-0.08855030924724694
2022-01-31,-0.16993513350429923
2022-02-28,-0.16183939256800928
2022-03-31,-0.1509025996882385
2022-04-30,-0.1751646804445115
2022-05-31,-0.17677377181073062
2022-06-30,-0.282873233770805
2022-07-31,-0.24609041082113947
2022-08-31,-0.2497108663951325
2022-09-30,-0.34183134711117824
2022-10-31,-0.29996982953688356
2022-11-30,-0.2506914064464224
2022-12-31,-0.30866897973550567
2023-01-31,-0.24712123497762373
2023-02-28,-0.2530296173379596
2023-03-31,-0.2346256348368282
2023-04-30,-0.2255996379544427
2023-05-31,-0.19366923115603163
2023-06-30,-0.19392065168200345
2023-07-31,-0.17609493639060692
2023-08-31,-0.2013375571981697
2023-09-30,-0.2179564539649016
2023-10-31,-0.2682908432644441
2023-11-30,-0.18969678684567792
2023-12-31,-0.1368230502338209
2024-01-31,-0.1904007643183987
2024-02-29,-0.14240458591039362
2024-03-31,-0.09179363403228236
2024-04-30,-0.11223412279378475
2024-05-31,-0.12767134308844963
2024-06-30,-0.06627445064615056
2024-07-31,-0.07283652637401306
2024-08-31,-0.11723739126062238
2024-09-30,-0.15560416352390993
2024-10-31,-0.16822547392769138
2024-11-30,-0.20347463166892932
2024-12-31,-0.21760446522854116
2025-01-31,-0.18112334691004173
2025-02-28,-0.17295217981596023
2025-03-31,-0.17084024739779768
2025-04-30,-0.1586714939407654
2025-05-31,-0.10398752954191193
2025-06-30,0.0
2025-07-31,0.0
2025-08-31,-0.016510301692420848
2025-09-30,0.0
2025-10-31,0.0
2025-11-30,-0.04290491950995512
2025-12-31,0.0
