point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_GDX,weight_GLD,weight_SLV,weight_AIA,weight_XLE
1,0.1599189576834995,0.12538119392533364,1.087559094107076,0.07361784641874801,0.43355391577279145,0.0,0.3,0.0,0.08879107526180963,0.10403716254665095
2,0.16033177078112343,0.12538892048549494,1.0907843392506542,0.08171561035153899,0.4335812250570942,0.0,0.3,0.0,0.08286716711890142,0.1018359974724654
3,0.16074458387874735,0.1254120973098079,1.0938744094188648,0.08981337428432971,0.4336085343413967,0.0,0.3,0.0,0.07694325897599352,0.0996348323982801
4,0.16115739697637127,0.12545071583503611,1.0968283127001708,0.09791113821712016,0.43363584362569924,0.0,0.3,0.0,0.07101935083308589,0.09743366732409477
5,0.1615702100739952,0.12550476180668418,1.0996452093712108,0.10600890214991053,0.43366315291000207,0.0,0.3,0.0,0.06509544269017799,0.0952325022499094
6,0.16198302317161908,0.12557421530526638,1.102324412978544,0.11410666608270212,0.4336904621943043,0.0,0.3,0.0,0.0591715345472697,0.09303133717572389
7,0.16239583626924298,0.12565905078292436,1.1048653909465092,0.12220443001549189,0.4337177714786078,0.0,0.3,0.0,0.05324762640436183,0.09083017210153847
8,0.16280864936686693,0.12575923711023787,1.1072677647114229,0.13030219394828374,0.4337450807629098,0.0,0.3,0.0,0.04732371826145348,0.08862900702735298
9,0.16322146246449082,0.12587473763302862,1.1095313093851846,0.13839995788107373,0.43377239004721296,0.0,0.3,0.0,0.04139981011854567,0.08642784195316765
10,0.16363427556211474,0.12600551023891718,1.111655952954129,0.14649772181386414,0.4337996993315155,0.0,0.3,0.0,0.03547590197563801,0.08422667687898235
11,0.1640470886597387,0.12615150743335266,1.1136417750216734,0.15459548574665544,0.4338270086158178,0.0,0.3,0.0,0.029551993832729873,0.08202551180479689
12,0.1644599017573626,0.12631267642479874,1.115489005105903,0.16269324967944637,0.4338543179001207,0.0,0.3,0.0,0.02362808568982168,0.07982434673061137
13,0.1648727148549865,0.1264889592187234,1.1171980205057197,0.17079101361223678,0.4338816271844236,0.0,0.3,0.0,0.017704177546913693,0.07762318165642597
14,0.16528552795261045,0.12668029272000897,1.118769343751485,0.17888877754502794,0.4339089364687259,0.0,0.3,0.0,0.011780269404005679,0.07542201658224053
15,0.1656983410502343,0.1268857775306787,1.1202109788535415,0.1854762370522165,0.4337550581133042,0.0010706822126122755,0.3,0.0,0.006274110694424928,0.07342391192744206
16,0.16611115414785826,0.12710149025800774,1.121557692663459,0.19090840423852418,0.43346258207832633,0.0029603721149116073,0.3,0.0,0.0010875052511875546,0.0715811363170504
17,0.16652396724548213,0.12733149990769443,1.1227737625734433,0.19573705194465815,0.4320212843734938,0.005456708804880166,0.3,0.0,0.0,0.06678495487696784
18,0.16693678034310608,0.127585527380999,1.1237738581034302,0.2004055838758335,0.430275200364324,0.008113990955144423,0.3,0.0,0.0,0.061205224804698095
19,0.16734959344073003,0.12786375235247494,1.1245571226812727,0.20507411580700957,0.42852911635515345,0.01077127310540875,0.3,0.0,0.0,0.055625494732428254
20,0.16776240653835392,0.12816601723719653,1.1251259081530007,0.20974264773818452,0.42678303234598397,0.013428555255672861,0.3,0.0,0.0,0.050045764660158615
21,0.1681752196359778,0.12849215238083073,1.1254828949192113,0.21441117966936057,0.4250369483368131,0.01608583740593675,0.3,0.0,0.0,0.044466034587889544
22,0.16858803273360168,0.128841976516564,1.125631076568875,0.21907971160053502,0.423290864327644,0.018743119556200873,0.3,0.0,0.0,0.03888630451562004
23,0.16900084583122565,0.12921529724515587,1.1255737434499309,0.22374824353171172,0.421544780318473,0.021400401706465184,0.3,0.0,0.0,0.0333065744433501
24,0.16941365892884958,0.12961191153530632,1.1253144653230336,0.2284167754628865,0.4197986963093036,0.024057683856729236,0.3,0.0,0.0,0.027726844371080677
25,0.16982647202647347,0.13003160624148694,1.1248570732475238,0.2330853073940623,0.41805261230013324,0.02671496600699332,0.3,0.0,0.0,0.022147114298811114
26,0.1702392851240974,0.1304741586363716,1.1242056408494687,0.23775383932523683,0.41630652829096393,0.02937224815725718,0.3,0.0,0.0,0.016567384226542126
27,0.1706520982217213,0.13093933695501886,1.123364465120604,0.24242237125641214,0.41456044428179417,0.032029530307521425,0.3,0.0,0.0,0.010987654154272306
28,0.17106491131934523,0.13142690094799395,1.1223380468943234,0.24709090318758814,0.4128143602726235,0.03468681245778552,0.3,0.0,0.0,0.005407924082002878
29,0.17147772441696918,0.13193664179280443,1.1211307367460701,0.25218034187531535,0.41032094907668965,0.03749870904799504,0.3,0.0,0.0,0.0
30,0.1718905375145931,0.13246918943555056,1.1197399044006358,0.255357801127106,0.40870323265709146,0.040575037322565045,0.2953639288932376,0.0,0.0,0.0
31,0.17230335061221702,0.13300420676072133,1.1183394438027947,0.25714895904532514,0.40931657629049834,0.04323052771973078,0.29030393694444573,0.0,0.0,0.0
32,0.1727161637098409,0.13354130809273662,1.1169327741365265,0.25894011696354524,0.40992991992390376,0.0458860181168959,0.28524394499565514,0.0,0.0,0.0
33,0.1731289768074648,0.1340804683871716,1.1155202439744396,0.2607312748817641,0.4105432635573108,0.04854150851406154,0.2801839530468635,0.0,0.0,0.0
34,0.17354178990508873,0.13462166290557037,1.114102193272512,0.2625224327999826,0.411156607190718,0.051196998911226865,0.2751239610980725,0.0,0.0,0.0
35,0.17395460300271265,0.13516486721309026,1.112678953515425,0.26431359071820176,0.4117699508241246,0.05385248930839228,0.2700639691492814,0.0,0.0,0.0
36,0.17436741610033657,0.1357100571760886,1.111250847862056,0.2661047486364214,0.4123832944575307,0.056507979705557744,0.26500397720049007,0.0,0.0,0.0
37,0.1747802291979605,0.1362572089596574,1.1098181912909535,0.26789590655464024,0.41299663809093773,0.05916347010272315,0.2599439852516989,0.0,0.0,0.0
38,0.1751930422955844,0.1368062990251101,1.1083812907456319,0.2696870644728596,0.4136099817243441,0.06181896049988861,0.2548839933029077,0.0,0.0,0.0
39,0.17560585539320828,0.13735730412742364,1.1069404452795455,0.27147822239107944,0.41422332535775,0.06447445089705402,0.24982400135411648,0.0,0.0,0.0
40,0.1760186684908322,0.13791020131263984,1.1054959462006013,0.2732693803092983,0.4148366689911569,0.0671299412942194,0.24476400940532536,0.0,0.0,0.0
41,0.17643148158845615,0.13846496791523027,1.1040480772150685,0.27506053822751714,0.415450012624564,0.06978543169138486,0.23970401745653405,0.0,0.0,0.0
42,0.17684429468608004,0.139021581555427,1.102597114570779,0.27685169614573596,0.4160633562579707,0.07244092208855005,0.2346440255077433,0.0,0.0,0.0
43,0.17725710778370393,0.13958002013652365,1.1011433271994933,0.2786428540639554,0.41667669989137723,0.07509641248571576,0.22958403355895157,0.0,0.0,0.0
44,0.1776699208813279,0.1401402618421489,1.0996869768583328,0.2804340119821747,0.41729004352478366,0.07775190288288113,0.22452404161016046,0.0,0.0,0.0
45,0.1780827339789518,0.1407022851335164,1.0982283182701709,0.2822251699003946,0.41790338715818953,0.08040739328004658,0.21946404966136926,0.0,0.0,0.0
46,0.1784955470765757,0.14126606874665354,1.096767599262905,0.2840163278186138,0.41851673079159607,0.08306288367721197,0.21440405771257812,0.0,0.0,0.0
47,0.17890836017419964,0.14183159168961174,1.0953050609075126,0.2858074857368325,0.4191300744250031,0.08571837407437748,0.20934406576378686,0.0,0.0,0.0
48,0.17932117327182356,0.14239883323966124,1.093840937654821,0.28759864365505255,0.4197434180584089,0.08837386447154288,0.20428407381499566,0.0,0.0,0.0
49,0.17973398636944743,0.14296777294047258,1.0923754574709204,0.2893898015732708,0.42035676169181624,0.09102935486870806,0.1992240818662049,0.0,0.0,0.0
50,0.18014679946707138,0.14353839059928822,1.0909088419711448,0.2911809594914909,0.420970105325222,0.09368484526587367,0.1941640899174135,0.0,0.0,0.0
51,0.1805596125646953,0.1441106662840843,1.0894413065525774,0.29297211740970946,0.4215834489586293,0.09634033566303914,0.18910409796862213,0.0,0.0,0.0
52,0.18097242566231922,0.1446845803207281,1.0879730605250102,0.2947632753279286,0.422196792592036,0.09899582606020459,0.18404410601983082,0.0,0.0,0.0
53,0.1813852387599431,0.1452601132901296,1.0865043072403229,0.296554433246147,0.4228101362254431,0.10165131645736969,0.17898411407104028,0.0,0.0,0.0
54,0.18179805185756703,0.1458372460253929,1.0850352442202236,0.2983455911643669,0.4234234798588491,0.10430680685453521,0.17392412212224886,0.0,0.0,0.0
55,0.18221086495519095,0.1464159596089657,1.0835660632823256,0.30013674908258614,0.4240368234922557,0.10696229725170057,0.16886413017345772,0.0,0.0,0.0
56,0.1826236780528149,0.14699623536979162,1.0820969506645155,0.3019279070008054,0.42465016712566234,0.10961778764886641,0.16380413822466575,0.0,0.0,0.0
57,0.18303649115043877,0.1475780548804654,1.0806280871475857,0.30371906491902423,0.4252635107590691,0.11227327804603159,0.15874414627587516,0.0,0.0,0.0
58,0.18344930424806272,0.1481613999543935,1.0791596481761065,0.30551022283724477,0.4258768543924745,0.11492876844319716,0.15368415432708357,0.0,0.0,0.0
59,0.18386211734568658,0.14874625264296046,1.0776918039775103,0.3073013807554625,0.42649019802588245,0.11758425884036235,0.14862416237829273,0.0,0.0,0.0
60,0.18427493044331053,0.14933259523270437,1.0762247196793728,0.30909253867368197,0.4271035416592888,0.12023974923752788,0.1435641704295013,0.0,0.0,0.0
61,0.18468774354093442,0.14992041024250033,1.0747585554248758,0.31088369659190124,0.4277168852926952,0.12289523963469325,0.13850417848071025,0.0,0.0,0.0
62,0.18510055663855834,0.15050968042075594,1.0732934664864329,0.31267485451012017,0.4283302289261022,0.12555073003185874,0.13344418653191895,0.0,0.0,0.0
63,0.18551336973618232,0.15110038874261766,1.071829603377476,0.3144660124283402,0.42894357255950805,0.12820622042902433,0.12838419458312736,0.0,0.0,0.0
64,0.1859261828338062,0.15169251840719056,1.0703671119623897,0.31625717034655876,0.42955691619291486,0.1308617108261896,0.12332420263433667,0.0,0.0,0.0
65,0.18633899593143005,0.15228605283477245,1.0689061335645935,0.31804832826477886,0.43017025982632034,0.13351720122335478,0.1182642106855459,0.0,0.0,0.0
66,0.186751809029054,0.15288097566410286,1.0674468050727666,0.319839486182998,0.4307836034597272,0.13617269162052034,0.11320421873675447,0.0,0.0,0.0
67,0.18716462212667795,0.1534772707496276,1.0659892590452187,0.3216306441012164,0.43139694709313475,0.13882818201768599,0.10814422678796283,0.0,0.0,0.0
68,0.18757743522430187,0.15407492215878146,1.064533623812405,0.3234218020194355,0.43201029072654146,0.1414836724148513,0.1030842348391717,0.0,0.0,0.0
69,0.1879902483219258,0.15467391416928794,1.0630800235775966,0.32521295993765553,0.4326236343599472,0.14413916281201675,0.09802424289038054,0.0,0.0,0.0
70,0.18840306141954968,0.1552742312664775,1.0616285785157071,0.3270041178558749,0.43323697799335364,0.1467946532091822,0.09296425094158922,0.0,0.0,0.0
71,0.1888158745171736,0.1558758581406255,1.0601794048702868,0.32879527577409345,0.43385032162676074,0.14945014360634756,0.08790425899279822,0.0,0.0,0.0
72,0.18922868761479755,0.15647877968431015,1.0587326150486902,0.33058643369231233,0.4344636652601677,0.15210563400351293,0.08284426704400712,0.0,0.0,0.0
73,0.1896415007124215,0.15708298098979076,1.0572883177154349,0.33237759161053254,0.43507700889357337,0.15476112440067863,0.07778427509521542,0.0,0.0,0.0
74,0.1900543138100453,0.15768844734640713,1.0558466178837598,0.33416874952875125,0.4356903525269802,0.15741661479784375,0.07272428314642478,0.0,0.0,0.0
75,0.19046712690766926,0.15829516423800158,1.0544076170053973,0.33595990744697046,0.4363036961603868,0.1600721051950092,0.06766429119763352,0.0,0.0,0.0
76,0.19087994000529318,0.15890311734036172,1.0529714130585746,0.3377510653651901,0.4369170397937928,0.1627275955921746,0.06260429924884248,0.0,0.0,0.0
77,0.19129275310291713,0.15951229251868726,1.0515381006342615,0.33954222328340916,0.43753038342719974,0.16538308598934007,0.05754430730005106,0.0,0.0,0.0
78,0.191705566200541,0.16012267582507891,1.0501077710206828,0.3413333812016283,0.4381437270606063,0.16803857638650546,0.05248431535125988,0.0,0.0,0.0
79,0.19211837929816492,0.1607342534960516,1.0486805122861103,0.3431245391198473,0.43875707069401315,0.17069406678367097,0.04742432340246854,0.0,0.0,0.0
80,0.19253119239578886,0.16134701195007067,1.0472564093599555,0.3449156970380664,0.43937041432741974,0.17334955718083644,0.04236433145367736,0.0,0.0,0.0
81,0.1929440054934128,0.16196093778511264,1.0458355441121836,0.34670685495628545,0.43998375796082667,0.17600504757800192,0.03730433950488601,0.0,0.0,0.0
82,0.19335681859103668,0.16257601777625008,1.0444179954310673,0.34849801287450466,0.440597101594233,0.1786605379751673,0.032244347556095,0.0,0.0,0.0
83,0.19376963168866057,0.1631922388732615,1.043003839299302,0.35028917079272404,0.44121044522763936,0.18131602837233265,0.027184355607303916,0.0,0.0,0.0
84,0.1941824447862845,0.16380958819826547,1.0415931488685053,0.352080328710943,0.44182378886104606,0.18397151876949805,0.022124363658512915,0.0,0.0,0.0
85,0.19459525788390847,0.16442805304337996,1.0401859945321206,0.3538714866291625,0.4424371324944526,0.18662700916666344,0.017064371709721516,0.0,0.0,0.0
86,0.19500807098153233,0.16504762086840702,1.0387824439967468,0.35566264454738145,0.44305047612785914,0.1892824995638287,0.012004379760930682,0.0,0.0,0.0
87,0.19542088407915628,0.16566827929854258,1.0373825623519237,0.3574538024656004,0.4436638197612662,0.1919379899609944,0.006944387812139077,0.0,0.0,0.0
88,0.1958336971767802,0.16629001612211108,1.0359864121383857,0.3592449603838195,0.4442771633946729,0.1945934803581597,0.0018843958633479342,0.0,0.0,0.0
89,0.1962465102744041,0.1669288011430408,1.0344950008143239,0.3714209181318174,0.4281776095521915,0.2004014723159911,0.0,0.0,0.0,0.0
