series,133690,402970,069500,168580,200250,101280,TLT,132030,optimized,provided,benchmark
133690,1.0,0.34338955681722283,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.37016461423931857,-0.11857479959343427,0.5629078210773665,0.6240287896702352,0.8461219217305007
402970,0.34338955681722283,1.0,0.22324148774101452,-0.024541245134344355,0.31213395201139665,0.4708411480487684,0.3534611204638748,-0.1923950485203593,0.5467458354738618,0.4134001996009209,0.5898379781204325
069500,0.5197056945872635,0.22324148774101452,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.24818788164844643,0.26342917508680463,0.6046083324760281,0.7316241049439005,0.4847399021088548
168580,0.12787406303260435,-0.024541245134344355,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.33423594199755224,0.08273629243768282,0.1162509354076734,0.41159764413164923,0.11791461190742925
200250,0.3845607251943168,0.31213395201139665,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.2920278370909839,-0.16727981427189076,0.2616745889483507,0.39515960931021504,0.47162084512482916
101280,0.5654607535638793,0.4708411480487684,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.3824348137496169,0.07144350110987657,0.6717263980644752,0.6905305371149203,0.6532097785663885
TLT,0.37016461423931857,0.3534611204638748,0.24818788164844643,0.33423594199755224,0.2920278370909839,0.3824348137496169,1.0,-0.025482874862354878,0.35853860593006703,0.7236741919571017,0.4450429338250393
132030,-0.11857479959343427,-0.1923950485203593,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.025482874862354878,1.0,0.5800353231649273,0.37502577131880444,-0.1549737237007923
optimized,0.5629078210773665,0.5467458354738618,0.6046083324760281,0.1162509354076734,0.2616745889483507,0.6717263980644752,0.35853860593006703,0.5800353231649273,1.0,0.8216173016455851,0.6092804367060627
provided,0.6240287896702352,0.4134001996009209,0.7316241049439005,0.41159764413164923,0.39515960931021504,0.6905305371149203,0.7236741919571017,0.37502577131880444,0.8216173016455851,1.0,0.6470546042140902
benchmark,0.8461219217305007,0.5898379781204325,0.4847399021088548,0.11791461190742925,0.47162084512482916,0.6532097785663885,0.4450429338250393,-0.1549737237007923,0.6092804367060627,0.6470546042140902,1.0
