point,expected_return,volatility,sharpe,weight_QQQ,weight_SPY,weight_EWY,weight_EEM,weight_EWJ,weight_TLT,weight_GLD
1,0.09341001843854374,0.11914409108817231,0.4617534142891147,0.0,0.3595257862977537,0.0,0.0,0.0,0.3033100745316648,0.33716413917058147
2,0.09487551488507251,0.11914644428113137,0.4740442540240387,0.0,0.3628192352881707,0.0,0.0,0.0,0.29715090924341997,0.34002985546840936
3,0.09634101133160126,0.11915350358116568,0.4863153999153894,0.0,0.3661126842785877,0.0,0.0,0.0,0.290991743955175,0.3428955717662373
4,0.09780650777812999,0.11916526815191189,0.4985654051160703,0.0,0.3694061332690046,0.0,0.0,0.0,0.2848325786669303,0.34576128806406514
5,0.09927200422465873,0.11918173659998141,0.5107928309752564,0.0,0.37269958225942146,0.0,0.0,0.0,0.2786734133786854,0.3486270043618931
6,0.10073750067118749,0.11920290697578526,0.5229962478821495,0.0,0.3759930312498385,0.0,0.0,0.0,0.27251424809044056,0.3514927206597209
7,0.10220299711771624,0.11922877677468707,0.535174236099822,0.0,0.37928648024025546,0.0,0.0,0.0,0.2663550828021957,0.3543584369575488
8,0.10366849356424497,0.11925934293848296,0.547325386588017,0.0,0.3825799292306723,0.0,0.0,0.0,0.26019591751395094,0.35722415325537676
9,0.1051339900107737,0.11929460185720599,0.559448301813796,0.0,0.38587337822108925,0.0,0.0,0.0,0.25403675222570615,0.3600898695532046
10,0.10659948645730245,0.11933454937125285,0.5715415965489518,0.0,0.3891668272115062,0.0,0.0,0.0,0.24787758693746126,0.3629555858510325
11,0.10806498290383122,0.11937918077382986,0.5836038986531337,0.0,0.3924602762019232,0.0,0.0,0.0,0.24171842164921634,0.36582130214886044
12,0.10953047935035995,0.11942849081371498,0.5956338498416657,0.0,0.3957537251923401,0.0,0.0,0.0,0.23555925636097158,0.36868701844668833
13,0.1109959757968887,0.11948247369833175,0.6076301064370706,0.0,0.3990471741827571,0.0,0.0,0.0,0.2294000910727267,0.37155273474451617
14,0.11246147224341743,0.11954112309713151,0.6195913401033442,0.0,0.40234062317317404,0.0,0.0,0.0,0.22324092578448188,0.37441845104234406
15,0.1139269686899462,0.11960443214527898,0.6315162385620733,0.0,0.40563407216359093,0.0,0.0,0.0,0.21708176049623698,0.37728416734017206
16,0.11539246513647496,0.11967239344763612,0.64340350628952,0.0,0.40892752115400793,0.0,0.0,0.0,0.21092259520799214,0.38014988363799995
17,0.1168579615830037,0.11974499908303929,0.6552518651938454,0.0,0.4122209701444249,0.0,0.0,0.0,0.20476342991974736,0.38301559993582784
18,0.11832345802953242,0.11982224060886365,0.6670600552716833,0.0,0.4155144191348418,0.0,0.0,0.0,0.19860426463150255,0.3858813162336556
19,0.11978895447606117,0.11990410906586911,0.6788268352433239,0.0,0.4188078681252588,0.0,0.0,0.0,0.19244509934325765,0.3887470325314835
20,0.12125445092258992,0.11999059498332082,0.6905509831658128,0.0,0.42210131711567567,0.0,0.0,0.0,0.18628593405501293,0.39161274882931146
21,0.12271994736911865,0.12008168838437822,0.7022312970233175,0.0,0.42539476610609267,0.0,0.0,0.0,0.180126768766768,0.39447846512713924
22,0.12418544381564739,0.12017737879174506,0.7138665952941672,0.0,0.4286882150965096,0.0,0.0,0.0,0.17396760347852322,0.39734418142496714
23,0.12565094026217616,0.12027765523357328,0.7254557174940116,0.0,0.43198166408692656,0.0,0.0,0.0,0.1678084381902783,0.4002098977227951
24,0.12711643670870487,0.12038250624961312,0.7369975246946074,0.0,0.43527511307734346,0.0,0.0,0.0,0.16164927290203351,0.403075614020623
25,0.12858193315523364,0.12049191989760163,0.7484909000177854,0.0,0.43856856206776046,0.0,0.0,0.0,0.15549010761378873,0.4059413303184508
26,0.13004742960176238,0.12060588375988145,0.7599347491041972,0.0,0.44186201105817735,0.0,0.0,0.0,0.14933094232554386,0.40880704661627876
27,0.13151292604829115,0.12072438495024153,0.7713280005565103,0.0,0.4451554600485944,0.0,0.0,0.0,0.143171777037299,0.41167276291410665
28,0.1329784224948199,0.12084741012097136,0.7826696063567469,0.0,0.4484489090390113,0.0,0.0,0.0,0.13701261174905413,0.4145384792119346
29,0.13444391894134866,0.1209749454701199,0.7939585422575398,0.0,0.4517423580294283,0.0,0.0,0.0,0.13085344646080924,0.41740419550976254
