metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,21577.70268359029,34856.31556431411,33627.563758620345,26145.127351256764
CAGR,pct,12.227885580185527,20.59858766983882,19.95112091963842,15.507082430592888
Annualized Return,pct,12.351999271100656,20.37479993434025,19.76738239279324,15.921057496986018
Standard Deviation,pct,12.403021424751705,17.456442921299537,17.062340987374412,16.941594566673707
Best Year,pct,24.216185686119296,54.379077635618756,42.545053738219394,28.72876069678869
Worst Year,pct,-17.30655443093082,-9.956654661601094,-11.600909554848094,-18.17536936501496
Maximum Drawdown,pct,-22.245435933664425,-22.346462959458556,-20.0510433347023,-23.92717882832831
Sharpe Ratio (ex-post),ratio,0.7666175801426549,1.0042810561909796,0.9918778088725505,0.7719127290834246
Sortino Ratio,ratio,1.1983466225714763,1.707826878002408,1.6547400111479458,1.2321277374873614
