metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,21577.705690955103,34856.31543301935,33627.55919623218,26145.135510113585
CAGR,pct,12.22788792642817,20.598587601699236,19.951118478499907,15.507087837368761
Annualized Return,pct,12.352000804420154,20.374799696849664,19.767380294305173,15.92106125845606
Standard Deviation,pct,12.403016509380073,17.45644193946847,17.06234093606932,16.941588548526777
Best Year,pct,24.21618364522764,54.379077793788525,42.54505575141725,28.728772012764246
Worst Year,pct,-17.30654368648513,-9.95665043684465,-11.600910253795416,-18.175362536271734
Maximum Drawdown,pct,-22.24543452549418,-22.346471874205285,-20.05104354073466,-23.92718565707157
Sharpe Ratio (ex-post),ratio,0.7666180075813992,1.0042810990716398,0.9918776888655895,0.7719132253151821
Sortino Ratio,ratio,1.1983470150399034,1.7078270099404065,1.6547399276880665,1.2321285732321063
