metric,unit,provided,optimized,benchmark
Start Balance,balance,1.0,1.0,1.0
End Balance,balance,5.137086738816027,5.282151472946813,4.394560509458342
CAGR,pct,19.94124272721067,20.312933716826052,17.87862187764473
Annualized Return,pct,19.210169886220402,19.287343707637138,17.69001681641574
Expected Return,pct,19.210169886220406,19.287343707637138,17.69001681641574
Standard Deviation,pct,13.398112476696575,11.49999354557487,15.064747124190944
Best Year,pct,40.37651973922309,47.74655439587099,43.41164908172737
Worst Year,pct,-2.799035769211544,0.24746435631921582,-13.336270898866331
Maximum Drawdown,pct,-15.671037263310705,-11.22114818168345,-17.409919772777904
Sharpe Ratio (ex-post),ratio,1.1472278020007707,1.3432930103652707,0.9194003685301751
Sortino Ratio,ratio,1.8858335864993203,2.4203934764655606,1.465583404739414
