metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,21577.702345609505,34856.31680472459,33627.56408124611,26145.13007087515
CAGR,pct,12.227885316504516,20.598588313589094,19.951121092261648,15.507084232851298
Annualized Return,pct,12.35199944649633,20.37479947611378,19.76738148939774,15.921060449246449
Standard Deviation,pct,12.403024859996368,17.456437070775735,17.062334821505974,16.94160310297943
Best Year,pct,24.216198688283463,54.37908340323805,42.54505865666545,28.728814751262366
Worst Year,pct,-17.306551623421896,-9.956647974627552,-11.600910140523425,-18.175368123865777
Maximum Drawdown,pct,-22.245441068877803,-22.346459909821824,-20.051041732543617,-23.92719085188838
Sharpe Ratio (ex-post),ratio,0.7666173819552528,1.004281366526,0.9918781143637173,0.7719125144034682
Sortino Ratio,ratio,1.198346316516249,1.7078275052567988,1.6547406144400132,1.2321276646026977
