asset,KAW Direct Proxy v2_contribution_balance,KAW Core_contribution_balance
contribution_133690,1020.7344383319491,0.0
contribution_402970,765.1503984647459,0.0
contribution_069500,1506.0313058471866,0.0
contribution_168580,247.96069357444418,0.0
contribution_200250,68.22851239022151,0.0
contribution_101280,414.03313388748586,0.0
contribution_267440,-475.3542972212962,0.0
contribution_385560,-770.6544403763587,0.0
contribution_132030,1896.7836849822643,0.0
contribution_QQQ,0.0,1079.4893753847612
contribution_SPY,0.0,934.7793489360756
contribution_EWY,0.0,1648.9699651846945
contribution_EEM,0.0,1414.9947432980282
contribution_EWJ,0.0,413.6583173902465
contribution_TLT,0.0,-706.9476044057053
contribution_GLD,0.0,2593.2028289173263
