date,year,month,series::Native Bond 50/50::return,series::Native Bond 50/50::balance,series::TLT Proxy::return,series::TLT Proxy::balance,series::EDV Proxy::return,series::EDV Proxy::balance,series::ZROZ Proxy::return,series::ZROZ Proxy::balance,series::benchmark::return,series::benchmark::balance,asset::267440::return,asset::385560::return,asset::TLT::return,asset::EDV::return,asset::ZROZ::return
2026-08-31,2026,8,0.00963656301448046,6949.655819903591,-0.016875158199198825,7875.823015685357,-0.008651464050578705,6175.137488642006,-0.008526917841420234,5514.867114546426,0.0007710809172516431,21127.968605097874,0.021356783919598055,-0.002083657890637136,-0.016875158199198825,-0.008651464050578705,-0.008526917841420234
2026-07-31,2026,7,-0.03256108408728475,6883.324232190983,-0.12370079673851064,8011.010078088476,-0.1505620671285518,6229.027697839927,-0.15788623429089477,5562.2963586058895,-0.08234183406494822,21111.68978397451,-0.03806646525679758,-0.02705570291777193,-0.12370079673851064,-0.1505620671285518,-0.15788623429089477
2026-06-30,2026,6,-0.031698307956759264,7114.996222471594,0.04773384886927823,9141.866212216531,0.05776309243875777,7333.1169433218765,0.060983152177678024,6605.160234997626,0.02499901299595053,23006.050147728663,0.010995723885155684,-0.07439233979867421,0.04773384886927823,0.05776309243875777,0.060983152177678024
2026-05-31,2026,5,-0.029246518634621632,7347.912619524643,0.019847445690530652,8725.370686536946,0.023917577007535495,6932.664786417142,0.022114545223576476,6225.509068113354,0.06782233020786066,22444.948586325667,-0.008479709267110835,-0.05001332800213243,0.019847445690530652,0.023917577007535495,0.022114545223576476
2026-04-30,2026,4,-0.00453916002460969,7569.2879403220895,-0.027735996703427968,8555.564583121612,-0.03563457778765189,6770.7254393252015,-0.0364165782281467,6090.813497572908,0.08350047519414172,21019.36619171147,-0.007215874924834664,-0.001862445124384715,-0.027735996703427968,-0.03563457778765189,-0.0364165782281467
2026-03-31,2026,3,-0.059393659685530564,7603.802818109064,0.005179309792756381,8799.631122938827,-0.014029230512308755,7020.912699039435,-0.017067700005104713,6321.002790161145,-0.0022507345476927565,19399.49882158124,-0.035942028985507246,-0.08284529038555388,0.005179309792756381,-0.014029230512308755,-0.017067700005104713
2026-02-28,2026,2,0.031453753153720454,8083.937447802992,0.048944593151420746,8754.289943306827,0.06880908454634382,7120.812215039083,0.07584083217377291,6430.761091271465,-0.006171952345696119,19443.260439572376,0.03479304139172168,0.02811446491571923,0.048944593151420746,0.06880908454634382,0.07584083217377291
2026-01-31,2026,1,-0.03753275833377673,7837.421137967608,-0.012421375139157309,8345.807777134993,-0.018375797628398916,6662.379949793852,-0.023766779550252193,5977.427979079297,0.008280616634021465,19564.008568145764,-0.013609467455621305,-0.06145604921193215,-0.012421375139157309,-0.018375797628398916,-0.023766779550252193
2025-12-31,2025,12,-0.0077652013981183154,8143.052354072296,-0.03668893397833817,8450.77806165659,-0.049993998899608205,6787.098294538339,-0.05431017293301088,6122.950800962821,-0.015288936878936399,19403.33697324955,-0.010770311402481858,-0.004760091393754773,-0.03668893397833817,-0.049993998899608205,-0.05431017293301088
2025-11-30,2025,11,-0.029618296514753117,8206.779650891449,0.029044399828721534,8772.636752276816,0.021943855542313484,7144.268864277536,0.02072490167819585,6474.5867257056725,0.02825082622320596,19704.599348919917,-0.0005850005850005502,-0.058651592444505685,0.029044399828721534,0.021943855542313484,0.02072490167819585
