date,Native Bond 50/50_annualized_return_pct,TLT Proxy_annualized_return_pct,EDV Proxy_annualized_return_pct,ZROZ Proxy_annualized_return_pct,benchmark_annualized_return_pct
2024-10-31,-5.8524982769554645,-6.8096206109011455,-11.888776641202881,-13.601231320664187,15.181480208880505
2024-11-30,-5.8113150396261855,-7.331661416665847,-12.460222724555347,-14.309424487906897,17.38291150730349
2024-12-31,-6.810563079182542,-6.612944582308211,-12.371626882389975,-14.45645875262943,16.718056889251585
2025-01-31,-4.987924341715432,-6.787838966862458,-12.497856596467017,-15.001111507015963,18.605709879718212
2025-02-28,-3.0006762735888315,-4.0253826116638525,-8.947273268158751,-11.329936109765171,19.848509617957543
2025-03-31,-1.7676679412440888,-2.5759125315750975,-7.657088067009187,-10.222457564163168,16.185311305036798
2025-04-30,1.1680035360968954,-2.3973190052693494,-6.876619951487617,-9.238082725760998,16.31580929829701
2025-05-31,-0.05463685316918765,-3.166031137625791,-7.611994819876633,-10.297571073628841,18.066423467768434
2025-06-30,1.6758534079120313,-3.5959824322987832,-7.655558161417053,-10.318914229126507,21.40685740950703
2025-07-31,-0.8993699819711432,-3.9118541213847613,-8.13017059585709,-10.833488765441723,19.811420222100494
2025-08-31,2.1347317715931347,-3.7232105515871528,-8.135135413655025,-11.106269212477171,20.6581095921581
2025-09-30,4.551272457389444,-1.4100175649581992,-4.505010291958356,-7.107323094809825,24.00198531880877
2025-10-31,5.79426066580444,1.7942665323262386,-0.02690153969905351,-2.262308054645501,22.610923497436055
2025-11-30,2.212102861522225,2.806613970568095,-0.1655211342977969,-2.4036440104780343,24.41767064059366
2025-12-31,2.0702615635516564,3.3999122744653665,0.026998430757774194,-2.290513739225364,28.391593473099054
2026-01-31,-1.2862634973144327,2.0035830694434598,-2.2256896752220756,-4.678909587393665,27.1285879147078
2026-02-28,1.3518574854413323,3.0066830334696037,-0.11149260172753639,-2.4892909700496957,25.074233508194578
2026-03-31,-2.289994756518998,2.138909722187776,-1.9351369211355718,-4.288819931935873,24.16254649035432
2026-04-30,-2.410315351030645,-0.018698397466232475,-4.210620374188223,-6.504740433895995,25.4857677906871
2026-05-31,-2.1175029861965733,2.1213213096781924,-1.6168919195194364,-3.9048362119391444,28.63162137260091
2026-06-30,-2.626677160329749,3.611328908252287,-0.1264084120803699,-2.4862309304417796,26.965964540721686
2026-07-31,-3.4745418951444007,1.1690067709486662,-3.0136220861132323,-5.541716222534754,23.483845854894337
2026-08-31,-2.691968051878113,0.4635169921526128,-2.909877669765615,-5.27566816634325,22.714775816032184
